RUN	test.scala.Simulation.FixedDurationLoadSimulation	fixeddurationloadsimulation	1594212395131	 	3.3.1
REQUEST	40		Get all video games	1594212429367	1594212429369	OK	 
REQUEST	40		Get all video games	1594212429370	1594212429371	OK	 
REQUEST	31		Get Specific Game	1594212429387	1594212429390	OK	 
REQUEST	15		Get Specific Game	1594212429387	1594212429391	OK	 
REQUEST	23		Get all video games	1594212429398	1594212429400	OK	 
REQUEST	23		Get all video games	1594212429401	1594212429403	OK	 
USER	Fixed Duration Simulation	57	START	1594212429835	1594212429835
REQUEST	57		Get all video games	1594212429835	1594212429839	OK	 
REQUEST	49		Get Specific Game	1594212429855	1594212429857	OK	 
REQUEST	32		Get Specific Game	1594212429866	1594212429869	OK	 
REQUEST	24		Get all video games	1594212429866	1594212429869	OK	 
REQUEST	24		Get all video games	1594212429869	1594212429871	OK	 
USER	Fixed Duration Simulation	58	START	1594212430333	1594212430333
REQUEST	58		Get all video games	1594212430333	1594212430336	OK	 
REQUEST	50		Get Specific Game	1594212430353	1594212430355	OK	 
REQUEST	41		Get all video games	1594212430363	1594212430366	OK	 
REQUEST	25		Get all video games	1594212430363	1594212430367	OK	 
REQUEST	41		Get all video games	1594212430366	1594212430369	OK	 
REQUEST	25		Get all video games	1594212430367	1594212430369	OK	 
REQUEST	33		Get Specific Game	1594212430374	1594212430377	OK	 
REQUEST	16		Get Specific Game	1594212430379	1594212430381	OK	 
USER	Fixed Duration Simulation	59	START	1594212430847	1594212430847
REQUEST	59		Get all video games	1594212430848	1594212430851	OK	 
REQUEST	42		Get all video games	1594212430867	1594212430869	OK	 
REQUEST	42		Get all video games	1594212430870	1594212430871	OK	 
REQUEST	34		Get Specific Game	1594212430878	1594212430880	OK	 
REQUEST	17		Get Specific Game	1594212430893	1594212430896	OK	 
USER	Fixed Duration Simulation	60	START	1594212431345	1594212431345
REQUEST	51		Get Specific Game	1594212431345	1594212431351	OK	 
REQUEST	60		Get all video games	1594212431346	1594212431352	OK	 
